codigo_filme;titulo;diretor;ano;genero;duracao;orcamento;faturamento;nota;elenco_principal
1006;Mary Reilly ;Stephen Frears;1996;Terror;146;47000000;5600000;5,8;Leonardo DiCaprio
1007;My Best Friend's Wedding ;P.J. Hogan;1997;Aventura;89;46000000;126805112;6,3;Tom Hanks
1008;America's Sweethearts ;Joe Roth;2001;Ação;104;48000000;93607673;5,7;Denzel Washington
1009;Insomnia ;Christopher Nolan;2002;Drama;143;46000000;67263182;7,2;Tom Hanks
1010;Star Trek: First Contact ;Jonathan Frakes;1996;Comédia;101;45000000;92001027;7,6;Viola Davis
1011;Jonah Hex ;Jimmy Hayward;2010;Terror;119;47000000;10539414;4,7;Leonardo DiCaprio
1012;Courage Under Fire ;Edward Zwick;1996;Comédia;103;46000000;58918501;6,6;Cate Blanchett
1013;Liar Liar ;Tom Shadyac;1997;Ação;129;45000000;181395380;6,8;Meryl Streep
1014;The Infiltrator ;Brad Furman;2016;Terror;112;25000000;14946229;7,3;Viola Davis
1015;The Flintstones ;Brian Levant;1994;Drama;101;45000000;130512915;4,8;Leonardo DiCaprio
1016;Taken 2 ;Olivier Megaton;2012;Aventura;106;45000000;139852971;6,3;Tom Hanks
1017;Scary Movie 3 ;David Zucker;2003;Ficção científica;99;48000000;110000082;5,5;Robert De Niro
1018;Miss Congeniality ;Donald Petrie;2000;Romance;105;45000000;106807667;6,2;Leonardo DiCaprio
1019;Journey to the Center of the Earth ;Eric Brevig;2008;Terror;55;45000000;101702060;5,8;Robert De Niro
1020;The Princess Diaries 2: Royal Engagement ;Garry Marshall;2004;Ação;89;40000000;95149435;5,7;Denzel Washington
1021;The Pelican Brief ;Alan J. Pakula;1993;Terror;116;45000000;100768056;6,5;Viola Davis
1022;The Client ;Joel Schumacher;1994;Aventura;112;45000000;92115211;6,7;Viola Davis
1023;The Bucket List ;Rob Reiner;2007;Ficção científica;116;45000000;93452056;7,4;Natalie Portman
1024;Patriot Games ;Phillip Noyce;1992;Comédia;130;45000000;83287363;6,9;Denzel Washington
1025;Monster-in-Law ;Robert Luketic;2005;Aventura;107;60000000;82931301;5,5;Robert De Niro
1026;Prisoners ;Denis Villeneuve;2013;Ação;101;46000000;60962878;8,1;Robert De Niro
1027;Training Day ;Antoine Fuqua;2001;Ficção científica;74;45000000;76261036;7,7;Denzel Washington
1028;Galaxy Quest ;Dean Parisot;1999;Terror;147;45000000;71423726;7,3;Viola Davis
1029;Scary Movie 2 ;Keenen Ivory Wayans;2001;Ação;97;45000000;71277420;5,2;Tom Hanks
1030;The Muppets ;James Bobin;2011;Ficção científica;101;45000000;88625922;7,1;Meryl Streep
1031;Blade ;Stephen Norrington;1998;Ação;121;45000000;70001065;7,1;Natalie Portman
1032;Coach Carter ;Thomas Carter;2005;Ficção científica;104;30000000;67253092;7,2;Meryl Streep
1033;Changing Lanes ;Roger Michell;2002;Comédia;109;45000000;66790248;6,5;Tom Hanks
1034;Anaconda ;Luis Llosa;1997;Drama;66;45000000;65557989;4,6;Leonardo DiCaprio
1035;Coyote Ugly ;David McNally;2000;Romance;128;45000000;60786269;5,6;Meryl Streep
1036;Love Actually ;Richard Curtis;2003;Ficção científica;85;45000000;59365105;7,7;Tom Hanks
1037;A Bug's Life ;John Lasseter;1998;Drama;78;120000000;162792677;7,2;Robert De Niro
1038;From Hell ;Albert Hughes;2001;Ficção científica;124;35000000;31598308;6,8;Leonardo DiCaprio
1039;The Specialist ;Luis Llosa;1994;Comédia;129;45000000;57362581;5,4;Viola Davis
1040;Tin Cup ;Ron Shelton;1996;Comédia;97;45000000;53854588;6,3;Denzel Washington
1041;Kicking & Screaming ;Jesse Dylan;2005;Documentário;91;45000000;52580895;5,6;Leonardo DiCaprio
1042;The Hitchhiker's Guide to the Galaxy ;Garth Jennings;2005;Thriller;102;50000000;51019112;6,8;Robert De Niro
1043;Fat Albert ;Joel Zwick;2004;Terror;119;26000000;48114556;4,3;Viola Davis
1044;Resident Evil: Extinction ;Russell Mulcahy;2007;Terror;138;45000000;50648679;6,3;Cate Blanchett
1045;Blended ;Frank Coraci;2014;Ação;127;40000000;46280507;6,5;Leonardo DiCaprio
1046;Last Holiday ;Wayne Wang;2006;Drama;148;45000000;38360195;6,4;Cate Blanchett
1047;The River Wild ;Curtis Hanson;1994;Comédia;77;45000000;46815748;6,3;Meryl Streep
1048;The Indian in the Cupboard ;Frank Oz;1995;Drama;78;45000000;35617599;5,9;Robert De Niro
1049;Savages ;Oliver Stone;2012;Biografia;115;45000000;47307550;6,5;Viola Davis
1050;Cellular ;David R. Ellis;2004;Família;105;25000000;32003620;6,5;Robert De Niro
1051;Johnny English ;Peter Howitt;2003;Thriller;86;35000000;27972410;6,1;Robert De Niro
1052;The Ant Bully ;John A. Davis;2006;Documentário;90;50000000;28133159;5,9;Cate Blanchett
1053;Dune ;David Lynch;1984;Mistério;137;40000000;27400000;6,6;Robert De Niro
1054;Across the Universe ;Julie Taymor;2007;Ficção científica;77;45000000;24343673;7,4;Denzel Washington
1055;Revolutionary Road ;Sam Mendes;2008;Ficção científica;71;35000000;22877808;7,3;Meryl Streep
1056;16 Blocks ;Richard Donner;2006;Ação;66;52000000;36883539;6,6;Tom Hanks
1057;Babylon A.D. ;Mathieu Kassovitz;2008;Romance;105;70000000;22531698;5,6;Denzel Washington
1058;The Glimmer Man ;John Gray;1996;Ação;134;45000000;20400913;5,3;Leonardo DiCaprio
1059;Multiplicity ;Harold Ramis;1996;Ação;137;45000000;20101861;6,0;Meryl Streep
1060;Aliens in the Attic ;John Schultz;2009;Thriller;137;45000000;25200412;5,4;Natalie Portman
1061;The Pledge ;Sean Penn;2001;Crime;98;45000000;19719930;6,8;Cate Blanchett
1062;The Producers ;Susan Stroman;2005;Drama;107;45000000;19377727;6,4;Leonardo DiCaprio
1063;Dredd ;Pete Travis;2012;Ação;119;35000000;13401683;7,1;Natalie Portman
1064;The Phantom ;Simon Wincer;1996;Comédia;130;45000000;17300889;4,9;Viola Davis
1065;All the Pretty Horses ;Billy Bob Thornton;2000;Drama;74;57000000;15527125;5,8;Viola Davis
1066;Nixon ;Oliver Stone;1995;Thriller;117;50000000;13560960;7,1;Tom Hanks
1067;The Ghost Writer ;Roman Polanski;2010;Ficção científica;123;45000000;15523168;7,2;Leonardo DiCaprio
1068;Deep Rising ;Stephen Sommers;1998;Drama;143;45000000;11146409;6,0;Cate Blanchett
1069;Miracle at St. Anna ;Spike Lee;2008;História;95;45000000;7916887;6,0;Tom Hanks
1070;Curse of the Golden Flower ;Yimou Zhang;2006;Ficção científica;150;45000000;6565495;7,0;Natalie Portman
1071;Bangkok Dangerous ;Danny Pang;2008;Aventura;86;40000000;15279680;5,4;Tom Hanks
1072;Big Trouble ;Barry Sonnenfeld;2002;Documentário;95;40000000;7262288;6,5;Leonardo DiCaprio
1073;Love in the Time of Cholera ;Mike Newell;2007;Biografia;150;45000000;4584886;6,4;Robert De Niro
1074;Shadow Conspiracy ;George P. Cosmatos;1997;Aventura;116;45000000;2154540;4,9;Robert De Niro
1075;Johnny English Reborn ;Oliver Parker;2011;Romance;89;45000000;8129455;6,3;Denzel Washington
1076;Argo ;Ben Affleck;2012;Romance;96;44500000;136019448;7,7;Leonardo DiCaprio
1077;The Fugitive ;Andrew Davis;1993;Ação;106;44000000;183875760;7,8;Leonardo DiCaprio
1078;The Bounty Hunter ;Andy Tennant;2010;Drama;105;40000000;67061228;5,5;Natalie Portman
1079;Sleepers ;Barry Levinson;1996;Comédia;87;44000000;53300852;7,5;Denzel Washington
1080;Rambo: First Blood Part II ;George P. Cosmatos;1985;Comédia;136;44000000;150415432;6,4;Robert De Niro
1081;The Juror ;Brian Gibson;1996;Comédia;126;44000000;44834712;5,6;Cate Blanchett
1082;Pinocchio ;Norman Ferguson;1940;Drama;72;2600000;84300000;7,5;Robert De Niro
1083;Heaven's Gate ;Michael Cimino;1980;Ação;102;44000000;1500000;6,8;Leonardo DiCaprio
1084;Underworld: Evolution ;Len Wiseman;2006;Comédia;81;50000000;62318875;6,8;Tom Hanks
1085;Victor Frankenstein ;Paul McGuigan;2015;Crime;85;40000000;5773519;6,0;Robert De Niro
1086;Finding Forrester ;Gus Van Sant;2000;Ação;110;43000000;51768623;7,3;Meryl Streep
1087;28 Days ;Betty Thomas;2000;Drama;88;43000000;37035515;6,0;Natalie Portman
1088;Unleashed ;Louis Leterrier;2005;Drama;86;45000000;24520892;7,0;Denzel Washington
1089;The Sweetest Thing ;Roger Kumble;2002;Aventura;94;43000000;24430272;5,1;Denzel Washington
1090;The Firm ;Sydney Pollack;1993;Terror;148;42000000;158348400;6,8;Meryl Streep
1091;Charlie St. Cloud ;Burr Steers;2010;Aventura;155;44000000;31136950;6,5;Viola Davis
1092;The Mechanic ;Simon West;2011;Drama;121;40000000;29113588;6,6;Meryl Streep
1093;21 Jump Street ;Phil Lord;2012;Drama;90;42000000;138447667;7,2;Tom Hanks
1094;Notting Hill ;Roger Michell;1999;Drama;86;42000000;116006080;7,0;Robert De Niro
1095;Chicken Run ;Peter Lord;2000;Crime;95;45000000;106793915;7,0;Robert De Niro
1096;Along Came Polly ;John Hamburg;2004;Crime;84;42000000;87856565;5,9;Cate Blanchett
1097;Boomerang ;Reginald Hudlin;1992;Família;120;40000000;70100000;5,4;Robert De Niro
1098;The Heat ;Paul Feig;2013;Romance;94;43000000;159578352;6,6;Robert De Niro
1099;Cleopatra ;Joseph L. Mankiewicz;1963;Ação;42;31115000;57750000;7,0;Viola Davis
1100;Here Comes the Boom ;Frank Coraci;2012;Ação;75;42000000;45290318;6,5;Viola Davis
1101;High Crimes ;Carl Franklin;2002;Aventura;154;42000000;41543207;6,3;Natalie Portman
1102;The Mirror Has Two Faces ;Barbra Streisand;1996;Crime;135;42000000;41252428;6,5;Denzel Washington
1103;The Mothman Prophecies ;Mark Pellington;2002;Ação;105;32000000;35228696;6,5;Tom Hanks
1104;Brüno ;Larry Charles;2009;Crime;105;42000000;59992760;5,8;Robert De Niro
1105;Licence to Kill ;John Glen;1989;Biografia;105;32000000;34667015;6,6;Meryl Streep
1106;Red Riding Hood ;Catherine Hardwicke;2011;Terror;108;42000000;37652565;5,4;Robert De Niro
1107;15 Minutes ;John Herzfeld;2001;Ficção científica;107;42000000;24375436;6,1;Meryl Streep
1108;Super Mario Bros. ;Annabel Jankel;1993;Animação;88;42000000;20915465;4,0;Leonardo DiCaprio
1109;Lord of War ;Andrew Niccol;2005;Fantasia;73;50000000;24127895;7,6;Tom Hanks
1110;Hero ;Yimou Zhang;2002;Romance;72;31000000;84961;7,9;Tom Hanks
1111;One for the Money ;Julie Anne Robinson;2012;Drama;78;40000000;26404753;5,3;Cate Blanchett
1112;The Interview ;Evan Goldberg;2014;Documentário;100;44000000;6105175;6,6;Robert De Niro
1113;The Warrior's Way ;Sngmoo Lee;2010;Terror;110;45000000;5664251;6,3;Viola Davis
1114;Micmacs ;Jean-Pierre Jeunet;2009;Comédia;124;27000000;1260917;7,2;Viola Davis
1115;8 Mile ;Curtis Hanson;2002;Ação;124;41000000;116724075;7,0;Natalie Portman
1116;A Knight's Tale ;Brian Helgeland;2001;Ação;113;65000000;56083966;6,9;Cate Blanchett
1117;The Medallion ;Gordon Chan;2003;Comédia;118;41000000;22108977;5,2;Natalie Portman
1118;The Sixth Sense ;M. Night Shyamalan;1999;Animação;90;40000000;293501675;8,1;Leonardo DiCaprio
1119;Man on a Ledge ;Asger Leth;2012;Ação;100;42000000;18600911;6,6;Cate Blanchett
1120;The Big Year ;David Frankel;2011;Ficção científica;101;41000000;7204138;6,2;Cate Blanchett
1121;The Karate Kid ;John G. Avildsen;1984;Ação;115;8000000;90800000;7,2;Natalie Portman
1122;American Hustle ;David O. Russell;2013;Ação;87;40000000;150117807;7,3;Meryl Streep
1123;The Proposal ;Anne Fletcher;2009;Thriller;136;40000000;163947053;6,7;Meryl Streep
1124;Double Jeopardy ;Bruce Beresford;1999;Ação;92;70000000;116735231;6,4;Robert De Niro
1125;Back to the Future Part II ;Robert Zemeckis;1989;Drama;103;40000000;118500000;7,8;Leonardo DiCaprio
1126;Lucy ;Luc Besson;2014;Drama;66;40000000;126546825;6,4;Leonardo DiCaprio
1127;Fifty Shades of Grey ;Sam Taylor-Johnson;2015;Animação;103;40000000;166147885;4,1;Meryl Streep
1128;Spy Kids 3-D: Game Over ;Robert Rodriguez;2003;Ficção científica;129;38000000;111760631;4,1;Meryl Streep
1129;A Time to Kill ;Joel Schumacher;1996;Drama;112;40000000;108706165;7,4;Cate Blanchett
1130;Cheaper by the Dozen ;Shawn Levy;2003;Ficção científica;107;40000000;138614544;5,8;Meryl Streep
1131;Lone Survivor ;Peter Berg;2013;Ficção científica;112;40000000;125069696;7,6;Viola Davis
1132;A League of Their Own ;Penny Marshall;1992;Aventura;123;40000000;107458785;7,2;Robert De Niro
1133;The Conjuring 2 ;James Wan;2016;Thriller;97;40000000;102310175;7,8;Meryl Streep
1134;The Social Network ;David Fincher;2010;Ficção científica;71;40000000;96917897;7,7;Cate Blanchett
1135;He's Just Not That Into You ;Ken Kwapis;2009;Crime;119;40000000;93952276;6,4;Cate Blanchett
1136;Scary Movie 4 ;David Zucker;2006;Crime;85;45000000;90703745;5,1;Robert De Niro
1137;Scream 3 ;Wes Craven;2000;Comédia;129;40000000;89138076;5,5;Natalie Portman
1138;Back to the Future Part III ;Robert Zemeckis;1990;Ação;131;40000000;87666629;7,4;Meryl Streep
1139;Get Hard ;Etan Cohen;2015;Ficção científica;88;40000000;90353764;6,0;Leonardo DiCaprio
1140;Bram Stoker's Dracula ;Francis Ford Coppola;1992;Ação;65;40000000;82522790;7,5;Robert De Niro
1141;Julie & Julia ;Nora Ephron;2009;Documentário;135;40000000;94125426;7,0;Denzel Washington
1142;42 ;Brian Helgeland;2013;Comédia;147;40000000;95001343;7,5;Leonardo DiCaprio
1143;The Talented Mr. Ripley ;Anthony Minghella;1999;Drama;125;40000000;81292135;7,3;Tom Hanks
1144;Dumb and Dumber To ;Bobby Farrelly;2014;Fantasia;89;35000000;86208010;5,7;Robert De Niro
1145;Eight Below ;Frank Marshall;2006;Ação;86;40000000;81593527;7,3;Leonardo DiCaprio
1146;The Intern ;Nancy Meyers;2015;Comédia;120;35000000;75274748;7,2;Denzel Washington
1147;Ride Along 2 ;Tim Story;2016;Romance;131;40000000;90835030;5,9;Viola Davis
1148;The Last of the Mohicans ;Michael Mann;1992;Romance;108;40000000;72455275;7,8;Viola Davis
1149;Ray ;Taylor Hackford;2004;Ação;90;40000000;75305995;7,7;Leonardo DiCaprio
1150;Sin City ;Frank Miller;2005;Drama;148;40000000;74098862;8,1;Natalie Portman
1151;Vantage Point ;Pete Travis;2008;Animação;102;40000000;72266306;6,6;Cate Blanchett
1152;I Love You, Man ;John Hamburg;2009;Ficção científica;106;40000000;71347010;7,1;Robert De Niro
1153;Shallow Hal ;Bobby Farrelly;2001;Crime;132;40000000;70836296;5,9;Viola Davis
1154;JFK ;Oliver Stone;1991;Animação;103;40000000;70405498;8,0;Tom Hanks
1155;Big Momma's House 2 ;John Whitesell;2006;Terror;143;40000000;70163652;4,6;Robert De Niro
1156;The Mexican ;Gore Verbinski;2001;Comédia;99;34000000;66808615;6,1;Robert De Niro
1157;Unbroken ;Angelina Jolie Pitt;2014;Drama;118;65000000;115603980;7,2;Leonardo DiCaprio
1158;17 Again ;Burr Steers;2009;Biografia;91;20000000;64149837;6,4;Viola Davis
1159;The Other Woman ;Nick Cassavetes;2014;Terror;105;40000000;83906114;6,0;Viola Davis
1160;The Final Destination ;David R. Ellis;2009;Ação;124;40000000;66466372;5,2;Natalie Portman
1161;Bridge of Spies ;Steven Spielberg;2015;Comédia;110;40000000;72306065;7,6;Viola Davis
1162;Behind Enemy Lines ;John Moore;2001;Ação;106;40000000;59068786;6,4;Denzel Washington
1163;Shall We Dance ;Peter Chelsom;2004;Terror;58;50000000;57887882;6,1;Leonardo DiCaprio
1164;Small Soldiers ;Joe Dante;1998;Ação;113;40000000;53955614;6,1;Meryl Streep
1165;Spawn ;Mark A.Z. Dippé;1997;Drama;163;40000000;54967359;5,2;Viola Davis
1166;The Count of Monte Cristo ;Kevin Reynolds;2002;Drama;124;35000000;54228104;7,7;Robert De Niro
1167;The Lincoln Lawyer ;Brad Furman;2011;Thriller;174;40000000;57981889;7,3;Leonardo DiCaprio
1168;Unknown ;Jaume Collet-Serra;2011;Ação;151;30000000;61094903;6,9;Robert De Niro
1169;The Prestige ;Christopher Nolan;2006;Drama;122;40000000;53082743;8,5;Natalie Portman
1170;Horrible Bosses 2 ;Sean Anders;2014;História;129;42000000;54414716;6,3;Natalie Portman
1171;Escape from Planet Earth ;Cal Brunker;2013;Comédia;42;40000000;57011847;5,9;Natalie Portman
1172;Apocalypto ;Mel Gibson;2006;Comédia;141;40000000;50859889;7,8;Denzel Washington
1173;The Living Daylights ;John Glen;1987;Romance;114;30000000;51185897;6,7;Denzel Washington
1174;Predators ;Nimród Antal;2010;Animação;147;40000000;52000688;6,4;Leonardo DiCaprio
1175;Legal Eagles ;Ivan Reitman;1986;Ação;85;40000000;49851591;5,9;Natalie Portman
1176;Secret Window ;David Koepp;2004;Ficção científica;116;40000000;47781388;6,6;Robert De Niro
1177;The Lake House ;Alejandro Agresti;2006;Crime;110;40000000;52320979;6,8;Denzel Washington
1178;The Skeleton Key ;Iain Softley;2005;Comédia;144;43000000;47806295;6,5;Leonardo DiCaprio
1179;The Odd Life of Timothy Green ;Peter Hedges;2012;Drama;91;25000000;51853450;6,6;Denzel Washington
1180;Made of Honor ;Paul Weiland;2008;Romance;103;40000000;46012734;5,8;Denzel Washington
1181;Jersey Boys ;Clint Eastwood;2014;Drama;84;40000000;47034272;6,9;Tom Hanks
1182;The Rainmaker ;Francis Ford Coppola;1997;Ação;100;40000000;45856732;7,1;Robert De Niro
1183;Gothika ;Mathieu Kassovitz;2003;Thriller;113;40000000;59588068;5,8;Leonardo DiCaprio
1184;Amistad ;Steven Spielberg;1997;Biografia;104;36000000;44175394;7,2;Natalie Portman
1185;Medicine Man ;John McTiernan;1992;Aventura;94;40000000;45500797;6,0;Tom Hanks
1186;Aliens vs. Predator: Requiem ;Colin Strause;2007;Drama;137;40000000;41797066;4,7;Natalie Portman
1187;Ri¢hie Ri¢h ;Donald Petrie;1994;Comédia;98;40000000;38087756;5,2;Tom Hanks
1188;Autumn in New York ;Joan Chen;2000;Aventura;65;40000000;37752931;5,5;Viola Davis
1189;Paul ;Greg Mottola;2011;Thriller;83;40000000;37371385;7,0;Leonardo DiCaprio
1190;The Guilt Trip ;Anne Fletcher;2012;Ficção científica;101;40000000;37101011;5,8;Robert De Niro
1191;Scream 4 ;Wes Craven;2011;Drama;68;40000000;38176892;6,2;Tom Hanks
1192;8MM ;Joel Schumacher;1999;Ficção científica;100;40000000;36283504;6,5;Denzel Washington
1193;The Doors ;Oliver Stone;1991;Comédia;103;38000000;35183792;7,2;Robert De Niro
1194;Sex Tape ;Jake Kasdan;2014;Crime;72;40000000;38543473;5,1;Meryl Streep
1195;Hanging Up ;Diane Keaton;2000;Drama;107;60000000;36037909;4,7;Leonardo DiCaprio
1196;Final Destination 5 ;Steven Quale;2011;Ação;106;40000000;42575718;5,9;Cate Blanchett
1197;Mickey Blue Eyes ;Kelly Makin;1999;Mistério;128;40000000;33864342;5,8;Tom Hanks
1198;Pay It Forward ;Mimi Leder;2000;Drama;106;40000000;33508922;7,2;Tom Hanks
1199;Fever Pitch ;Bobby Farrelly;2005;Musical;94;30000000;42071069;6,2;Natalie Portman
1200;Drillbit Taylor ;Steven Brill;2008;Comédia;115;40000000;32853640;5,7;Tom Hanks
1201;A Million Ways to Die in the West ;Seth MacFarlane;2014;Biografia;118;40000000;42615685;6,1;Cate Blanchett
1202;The Shadow ;Russell Mulcahy;1994;Mistério;95;25000000;32055248;6,0;Cate Blanchett
1203;Extremely Loud & Incredibly Close ;Stephen Daldry;2011;Terror;89;40000000;31836745;6,9;Denzel Washington
1204;Morning Glory ;Roger Michell;2010;Thriller;97;40000000;30993544;6,5;Meryl Streep
1205;Get Rich or Die Tryin' ;Jim Sheridan;2005;Terror;86;40000000;30981850;5,0;Robert De Niro
1206;The Art of War ;Christian Duguay;2000;Guerra;75;40000000;30199105;5,7;Cate Blanchett
1207;Rent ;Chris Columbus;2005;Drama;118;40000000;29077547;7,0;Robert De Niro
1208;Bless the Child ;Chuck Russell;2000;Drama;99;40000000;29374178;5,1;Denzel Washington
1209;The Out-of-Towners ;Sam Weisman;1999;Aventura;107;40000000;28535768;5,3;Natalie Portman
1210;The Island of Dr. Moreau ;John Frankenheimer;1996;Ficção científica;158;40000000;27663982;4,4;Denzel Washington
1211;The Musketeer ;Peter Hyams;2001;Comédia;105;40000000;27053815;4,7;Denzel Washington
1212;The Other Boleyn Girl ;Justin Chadwick;2008;Esporte;80;35000000;26814957;6,7;Viola Davis
1213;Sweet November ;Pat O'Connor;2001;Ação;91;40000000;25178165;6,7;Viola Davis
1214;The Reaping ;Stephen Hopkins;2007;Terror;103;40000000;25117498;5,7;Robert De Niro
1215;Mean Streets ;Martin Scorsese;1973;Drama;100;500000;32645;7,4;Cate Blanchett
1216;Renaissance Man ;Penny Marshall;1994;Aventura;65;40000000;24332324;6,1;Robert De Niro
1217;Colombiana ;Olivier Megaton;2011;Comédia;109;40000000;36665854;6,4;Viola Davis
1218;The Magic Sword: Quest for Camelot ;Frederik Du Chau;1998;Aventura;112;40000000;22717758;6,2;Denzel Washington
1219;City by the Sea ;Michael Caton-Jones;2002;Ação;106;60000000;22433915;6,2;Denzel Washington
1220;At First Sight ;Irwin Winkler;1999;Fantasia;57;60000000;22326247;5,9;Leonardo DiCaprio
1221;Torque ;Joseph Kahn;2004;Comédia;121;40000000;21176322;4,0;Leonardo DiCaprio
1222;City Hall ;Harold Becker;1996;Terror;126;40000000;20300000;6,2;Natalie Portman
1223;Showgirls ;Paul Verhoeven;1995;Drama;112;45000000;20302961;4,6;Natalie Portman
1224;Marie Antoinette ;Sofia Coppola;2006;Mistério;121;40000000;15962471;6,4;Meryl Streep
1225;Kiss of Death ;Barbet Schroeder;1995;Fantasia;74;40000000;14942422;5,9;Meryl Streep
1226;Get Carter ;Stephen Kay;2000;Drama;125;40000000;14967182;5,1;Leonardo DiCaprio
1227;The Impossible ;J.A. Bayona;2012;Terror;103;45000000;18996755;7,6;Denzel Washington
1228;Ishtar ;Elaine May;1987;Ação;105;51000000;14375181;4,2;Robert De Niro
1229;Fantastic Mr. Fox ;Wes Anderson;2009;Biografia;147;40000000;20999103;7,8;Viola Davis
1230;Life or Something Like It ;Stephen Herek;2002;Ficção científica;98;40000000;14448589;5,8;Tom Hanks
1231;Memoirs of an Invisible Man ;John Carpenter;1992;Drama;131;40000000;14358033;5,9;Viola Davis
1232;Amélie ;Jean-Pierre Jeunet;2001;Ação;55;77000000;33201661;8,4;Cate Blanchett
1233;New York Minute ;Dennie Gordon;2004;Ação;95;30000000;14018364;4,8;Tom Hanks
1234;Alfie ;Charles Shyer;2004;Ficção científica;109;60000000;13395939;6,2;Tom Hanks
1235;Big Miracle ;Ken Kwapis;2012;Ação;66;40000000;20113965;6,5;Meryl Streep
1236;The Deep End of the Ocean ;Ulu Grosbard;1999;Drama;129;40000000;13376506;6,3;Meryl Streep
1237;Feardotcom ;William Malone;2002;Drama;151;42000000;13208023;3,3;Robert De Niro
1238;Cirque du Freak: The Vampire's Assistant ;Paul Weitz;2009;Thriller;90;40000000;13838130;5,9;Viola Davis
1239;Victor Frankenstein ;Paul McGuigan;2015;Animação;115;40000000;5773519;6,0;Natalie Portman
1240;Duplex ;Danny DeVito;2003;Ação;75;40000000;9652000;5,8;Meryl Streep
1241;Raise the Titanic ;Jerry Jameson;1980;Drama;156;36000000;7000000;4,7;Robert De Niro
1242;Universal Soldier: The Return ;Mic Rodgers;1999;Ação;124;24000000;10431220;4,1;Tom Hanks
1243;Pandorum ;Christian Alvart;2009;Romance;94;33000000;10326062;6,8;Leonardo DiCaprio
1244;Impostor ;Gary Fleder;2001;Comédia;82;40000000;6114237;6,2;Robert De Niro
1245;Extreme Ops ;Christian Duguay;2002;Aventura;100;40000000;4835968;4,5;Meryl Streep
1246;Just Visiting ;Jean-Marie Poiré;2001;Ação;99;40000000;4777007;5,8;Cate Blanchett
1247;Sunshine ;Danny Boyle;2007;Ficção científica;115;26000000;3675072;7,3;Robert De Niro
1248;A Thousand Words ;Brian Robbins;2012;Drama;80;40000000;18438149;5,9;Robert De Niro
1249;Delgo ;Marc F. Adler;2008;Ação;106;40000000;511920;4,4;Natalie Portman
1250;The Gunman ;Pierre Morel;2015;Crime;35;40000000;10640645;5,8;Tom Hanks
1251;Alex Rider: Operation Stormbreaker ;Geoffrey Sax;2006;Documentário;135;40000000;652526;5,1;Denzel Washington
1252;Disturbia ;D.J. Caruso;2007;Terror;98;20000000;80050171;6,9;Cate Blanchett
1253;Hackers ;Iain Softley;1995;Ficção científica;105;20000000;7564000;6,2;Denzel Washington
1254;The Hunting Party ;Richard Shepard;2007;Drama;127;25000000;876671;6,9;Meryl Streep
1255;The Hudsucker Proxy ;Joel Coen;1994;Drama;86;30000000;2869369;7,3;Meryl Streep
1256;The Warlords ;Peter Ho-Sun Chan;2007;Biografia;92;40000000;128978;7,1;Cate Blanchett
1257;Nomad: The Warrior ;Sergey Bodrov;2005;Drama;89;25000000;77231;6,0;Natalie Portman
1258;Snowpiercer ;Joon-ho Bong;2013;Ação;72;39200000;4563029;7,0;Robert De Niro
1259;The Crow ;Alex Proyas;1994;Guerra;130;23000000;50693162;7,6;Meryl Streep
1260;Baahubali: The Beginning ;S.S. Rajamouli;2015;Ficção científica;102;18026148;6498000;8,4;Viola Davis
1261;The Time Traveler's Wife ;Robert Schwentke;2009;Ação;89;39000000;63411478;7,1;Cate Blanchett
1262;The Fast and the Furious ;Rob Cohen;2001;Romance;120;38000000;144512310;6,7;Viola Davis
1263;Frankenweenie ;Tim Burton;2012;Drama;83;39000000;35287788;7,0;Leonardo DiCaprio
1264;Serenity ;Joss Whedon;2005;Drama;77;40000000;25335935;8,0;Tom Hanks
1265;Against the Ropes ;Charles S. Dutton;2004;Thriller;90;39000000;5881504;5,3;Denzel Washington
1266;Superman III ;Richard Lester;1983;Drama;105;39000000;60000000;4,9;Cate Blanchett
1267;Grudge Match ;Peter Segal;2013;Romance;83;40000000;29802761;6,4;Viola Davis
1268;Red Cliff ;John Woo;2008;Animação;121;553632000;626809;7,4;Denzel Washington
1269;Sweet Home Alabama ;Andy Tennant;2002;Drama;74;38000000;127214072;6,1;Leonardo DiCaprio
1270;The Ugly Truth ;Robert Luketic;2009;História;111;38000000;88915214;6,5;Tom Hanks
1271;Sgt. Bilko ;Jonathan Lynn;1996;Drama;122;39000000;30400000;5,7;Meryl Streep
1272;Spy Kids 2: Island of Lost Dreams ;Robert Rodriguez;2002;Crime;71;38000000;85570368;5,1;Meryl Streep
1273;Star Trek: Generations ;David Carson;1994;Terror;54;35000000;75668868;6,6;Leonardo DiCaprio
1274;The Grandmaster ;Kar-Wai Wong;2013;Ficção científica;147;38600000;6594136;6,5;Leonardo DiCaprio
1275;Water for Elephants ;Francis Lawrence;2011;Biografia;88;38000000;58700247;6,9;Tom Hanks
1276;The Hurricane ;Norman Jewison;1999;Ficção científica;95;38000000;50668906;7,6;Denzel Washington
1277;Enough ;Michael Apted;2002;Crime;131;38000000;39177215;5,6;Denzel Washington
1278;Heartbreakers ;David Mirkin;2001;Romance;125;35000000;40334024;6,2;Viola Davis
1279;Paul Blart: Mall Cop 2 ;Andy Fickman;2015;Ação;94;30000000;71038190;4,4;Meryl Streep
1280;Angel Eyes ;Luis Mandoki;2001;Comédia;65;38000000;24044532;5,6;Denzel Washington
