codigo,ator_principal,orcamento_elenco
952,Leonardo DiCaprio,45367711
953,Viola Davis,3391503
954,Viola Davis,43096387
955,Robert De Niro,17502991
956,Meryl Streep,40348837
957,Cate Blanchett,15778012
958,Viola Davis,14131748
959,Tom Hanks,32548911
960,Meryl Streep,33514725
961,Meryl Streep,34334744
962,Tom Hanks,9844406
963,Meryl Streep,43598876
964,Robert De Niro,35648724
965,Viola Davis,15373985
966,Robert De Niro,30146640
967,Robert De Niro,33929725
968,Leonardo DiCaprio,42018091
969,Meryl Streep,48646656
970,Meryl Streep,3604678
971,Cate Blanchett,47169667
972,Tom Hanks,42163115
973,Cate Blanchett,43347463
974,Leonardo DiCaprio,16751509
975,Viola Davis,24401114
976,Cate Blanchett,36598644
977,Viola Davis,13083912
978,Tom Hanks,16562098
979,Tom Hanks,45827097
980,Cate Blanchett,33898239
981,Viola Davis,27320771
982,Leonardo DiCaprio,24966445
983,Leonardo DiCaprio,33276615
984,Tom Hanks,7478235
985,Meryl Streep,8540849
986,Tom Hanks,29158478
987,Cate Blanchett,22837026
988,Meryl Streep,45454132
989,Cate Blanchett,8772493
990,Meryl Streep,32187900
991,Tom Hanks,45332978
992,Robert De Niro,24325603
993,Viola Davis,27715321
994,Viola Davis,9593817
995,Cate Blanchett,33827936
996,Leonardo DiCaprio,28649047
997,Viola Davis,16761190
998,Robert De Niro,20523997
999,Tom Hanks,35056903
1000,Meryl Streep,28447916
1001,Robert De Niro,38732449
1002,Tom Hanks,18556031
1003,Viola Davis,22315007
1004,Cate Blanchett,27264959
1005,Cate Blanchett,29534640
1006,Cate Blanchett,18495239
1007,Robert De Niro,19006464
1008,Cate Blanchett,49867792
1009,Meryl Streep,23806380
1010,Viola Davis,4062079
1011,Tom Hanks,31040366
1012,Cate Blanchett,15851865
1013,Leonardo DiCaprio,12175984
1014,Leonardo DiCaprio,14837902
1015,Viola Davis,8403155
1016,Leonardo DiCaprio,41986832
1017,Tom Hanks,9671494
1018,Leonardo DiCaprio,37223171
1019,Robert De Niro,49467949
1020,Robert De Niro,26446884
1021,Robert De Niro,48293664
1022,Tom Hanks,24669338
1023,Leonardo DiCaprio,5259049
1024,Viola Davis,4302776
1025,Leonardo DiCaprio,15123959
1026,Tom Hanks,36934962
1027,Meryl Streep,11535615
1028,Leonardo DiCaprio,27543319
1029,Viola Davis,16390375
1030,Tom Hanks,11831650
1031,Tom Hanks,23246730
1032,Cate Blanchett,15469684
1033,Leonardo DiCaprio,17690225
1034,Robert De Niro,3420950
1035,Robert De Niro,36336533
1036,Robert De Niro,34655049
1037,Cate Blanchett,33541084
1038,Robert De Niro,11532434
1039,Tom Hanks,21231070
1040,Robert De Niro,16435390
1041,Viola Davis,47175598
1042,Meryl Streep,3266804
1043,Tom Hanks,9297529
1044,Cate Blanchett,44974825
1045,Cate Blanchett,9804225
1046,Viola Davis,19119303
1047,Robert De Niro,6135645
1048,Robert De Niro,34857070
1049,Viola Davis,48210363
1050,Viola Davis,28875681
1051,Robert De Niro,1989304
1052,Viola Davis,37352734
1053,Leonardo DiCaprio,11190317
1054,Robert De Niro,40473151
1055,Cate Blanchett,14038183
1056,Leonardo DiCaprio,21950696
1057,Tom Hanks,29531515
1058,Leonardo DiCaprio,2572491
1059,Tom Hanks,19391166
1060,Cate Blanchett,14600731
1061,Robert De Niro,18734856
1062,Viola Davis,39668206
1063,Cate Blanchett,26271904
1064,Tom Hanks,29825577
1065,Robert De Niro,15915143
1066,Cate Blanchett,38647821
1067,Tom Hanks,33437037
1068,Tom Hanks,48169442
1069,Leonardo DiCaprio,34996914
1070,Meryl Streep,26662989
1071,Robert De Niro,34355446
1072,Viola Davis,27417080
1073,Tom Hanks,37680457
1074,Viola Davis,8268178
1075,Cate Blanchett,16036469
1076,Leonardo DiCaprio,2670465
1077,Cate Blanchett,16577010
1078,Cate Blanchett,25818309
1079,Cate Blanchett,38792576
1080,Robert De Niro,44138823
1081,Tom Hanks,23309367
1082,Meryl Streep,43272801
1083,Robert De Niro,7401449
1084,Leonardo DiCaprio,12358558
1085,Meryl Streep,33870690
1086,Leonardo DiCaprio,17775139
1087,Robert De Niro,10484533
1088,Cate Blanchett,42371840
1089,Cate Blanchett,36125159
1090,Viola Davis,39026513
1091,Meryl Streep,4954923
1092,Cate Blanchett,17913034
1093,Cate Blanchett,21901388
1094,Viola Davis,23673969
1095,Meryl Streep,3450125
1096,Tom Hanks,47237846
1097,Leonardo DiCaprio,41180096
1098,Cate Blanchett,1373915
1099,Tom Hanks,47331781
1100,Meryl Streep,38742662
1101,Cate Blanchett,37613840
1102,Cate Blanchett,22006159
1103,Viola Davis,16820199
1104,Tom Hanks,31962152
1105,Viola Davis,33413335
1106,Leonardo DiCaprio,38232483
1107,Viola Davis,6464963
1108,Robert De Niro,29568379
1109,Viola Davis,6201235
1110,Cate Blanchett,9541782
1111,Robert De Niro,11877884
1112,Leonardo DiCaprio,9152229
1113,Meryl Streep,14245116
1114,Cate Blanchett,8627901
1115,Robert De Niro,29466387
1116,Cate Blanchett,12456965
1117,Viola Davis,36204578
1118,Cate Blanchett,10386207
1119,Viola Davis,37714256
1120,Cate Blanchett,27803660
1121,Robert De Niro,20914624
1122,Robert De Niro,30224527
1123,Tom Hanks,49314556
1124,Viola Davis,19193725
1125,Leonardo DiCaprio,22634967
1126,Leonardo DiCaprio,25939788
1127,Leonardo DiCaprio,44635573
1128,Meryl Streep,10497085
1129,Tom Hanks,36114796
1130,Viola Davis,14721201
1131,Leonardo DiCaprio,48947592
1132,Tom Hanks,35854987
1133,Leonardo DiCaprio,17860388
1134,Cate Blanchett,32063362
1135,Meryl Streep,23157814
1136,Viola Davis,49327123
1137,Meryl Streep,12021839
1138,Leonardo DiCaprio,48988302
1139,Cate Blanchett,1659088
1140,Tom Hanks,28937617
1141,Meryl Streep,11089755
1142,Cate Blanchett,5499515
1143,Robert De Niro,21927262
1144,Viola Davis,13594617
1145,Meryl Streep,47576583
1146,Robert De Niro,37086549
1147,Cate Blanchett,23215391
1148,Robert De Niro,5100874
1149,Leonardo DiCaprio,32453528
1150,Leonardo DiCaprio,11499384
1151,Robert De Niro,24518488
1152,Viola Davis,38524329
1153,Meryl Streep,24149702
1154,Viola Davis,1948213
1155,Meryl Streep,19426793
1156,Tom Hanks,29599492
1157,Leonardo DiCaprio,49944045
1158,Tom Hanks,25647394
1159,Leonardo DiCaprio,28062881
1160,Tom Hanks,38655608
1161,Leonardo DiCaprio,44057003
1162,Viola Davis,14595458
1163,Robert De Niro,40771338
1164,Meryl Streep,7910621
1165,Viola Davis,15525141
1166,Tom Hanks,12967205
1167,Tom Hanks,38826566
1168,Robert De Niro,9502967
1169,Leonardo DiCaprio,40414180
1170,Viola Davis,26699105
1171,Tom Hanks,39631600
1172,Leonardo DiCaprio,41585777
1173,Tom Hanks,42331489
1174,Viola Davis,32769795
1175,Meryl Streep,12280959
1176,Robert De Niro,16557917
1177,Meryl Streep,7129607
1178,Leonardo DiCaprio,10830888
1179,Meryl Streep,12060774
1180,Cate Blanchett,1016567
1181,Tom Hanks,6220225
1182,Robert De Niro,10192231
1183,Leonardo DiCaprio,30507030
1184,Cate Blanchett,45616806
1185,Cate Blanchett,22950595
1186,Tom Hanks,34579604
1187,Robert De Niro,17157995
1188,Leonardo DiCaprio,27390336
1189,Cate Blanchett,26872470
1190,Viola Davis,32841679
1191,Tom Hanks,21921982
1192,Leonardo DiCaprio,22271625
1193,Leonardo DiCaprio,6247890
1194,Leonardo DiCaprio,15354543
1195,Meryl Streep,43531576
1196,Tom Hanks,48737734
1197,Meryl Streep,30342897
1198,Leonardo DiCaprio,30638416
1199,Cate Blanchett,47647354
1200,Tom Hanks,46994240
1201,Robert De Niro,38440376
1202,Cate Blanchett,44761161
1203,Tom Hanks,12946210
1204,Robert De Niro,25540850
1205,Cate Blanchett,45965562
1206,Tom Hanks,49888237
1207,Cate Blanchett,15346530
1208,Leonardo DiCaprio,38567140
1209,Meryl Streep,26666282
1210,Tom Hanks,13012862
1211,Viola Davis,1716214
1212,Meryl Streep,30667524
1213,Tom Hanks,36299436
1214,Meryl Streep,1376785
1215,Leonardo DiCaprio,21829967
1216,Tom Hanks,7315513
1217,Tom Hanks,18029567
1218,Leonardo DiCaprio,1872046
1219,Leonardo DiCaprio,19322587
1220,Robert De Niro,44434072
1221,Tom Hanks,44062017
1222,Cate Blanchett,27729058
1223,Robert De Niro,47674152
1224,Viola Davis,17981089
1225,Tom Hanks,42961187
1226,Robert De Niro,39398411
1227,Robert De Niro,49186144
1228,Cate Blanchett,41771739
1229,Viola Davis,31499684
1230,Cate Blanchett,12661572
1231,Cate Blanchett,44456243
1232,Leonardo DiCaprio,7971757
1233,Robert De Niro,25798997
1234,Robert De Niro,42132397
1235,Viola Davis,11280524
1236,Viola Davis,12872072
1237,Meryl Streep,6558266
1238,Cate Blanchett,9014594
1239,Robert De Niro,30754594
1240,Viola Davis,48686946
1241,Robert De Niro,22088058
1242,Robert De Niro,37512824
1243,Tom Hanks,14031358
1244,Viola Davis,42205096
1245,Viola Davis,2119003
1246,Tom Hanks,46096547
1247,Tom Hanks,48600918
1248,Meryl Streep,40382668
1249,Viola Davis,25579062
1250,Leonardo DiCaprio,1951013
1251,Viola Davis,28056487
1252,Cate Blanchett,45810095
1253,Viola Davis,5126081
1254,Robert De Niro,13947979
1255,Leonardo DiCaprio,10899493
1256,Viola Davis,18893634
1257,Robert De Niro,12581998
1258,Cate Blanchett,3986910
1259,Tom Hanks,41837691
1260,Meryl Streep,47218995
1261,Leonardo DiCaprio,28464404
1262,Meryl Streep,43634241
1263,Viola Davis,1216384
1264,Tom Hanks,19371933
1265,Leonardo DiCaprio,24534057
1266,Robert De Niro,23914488
1267,Cate Blanchett,39129462
1268,Viola Davis,6777753
1269,Leonardo DiCaprio,32071764
1270,Robert De Niro,8802189
1271,Robert De Niro,13247432
1272,Viola Davis,6799390
1273,Meryl Streep,22307150
1274,Leonardo DiCaprio,43052087
1275,Robert De Niro,12363935
1276,Robert De Niro,15597912
1277,Viola Davis,26134253
1278,Cate Blanchett,6454268
1279,Viola Davis,17557912
1280,Tom Hanks,46693794
1281,Viola Davis,13823568
1282,Viola Davis,9907682
1283,Tom Hanks,4579271
1284,Cate Blanchett,48373084
1285,Tom Hanks,12945648
1286,Tom Hanks,10423834
1287,Leonardo DiCaprio,22175596
1288,Cate Blanchett,16163944
1289,Meryl Streep,19307259
1290,Meryl Streep,12885790
1291,Tom Hanks,18404958
1292,Viola Davis,30500944
1293,Tom Hanks,7201668
1294,Cate Blanchett,24833921
1295,Leonardo DiCaprio,25401668
1296,Tom Hanks,44072207
1297,Leonardo DiCaprio,31177053
1298,Viola Davis,47106465
1299,Meryl Streep,3464981
1300,Leonardo DiCaprio,26882593
1301,Meryl Streep,37101131
1302,Leonardo DiCaprio,15137340
1303,Viola Davis,30115408
1304,Tom Hanks,44352861
1305,Viola Davis,20373591
1306,Meryl Streep,23963389
1307,Viola Davis,34807113
1308,Leonardo DiCaprio,19048936
1309,Robert De Niro,35445131
1310,Meryl Streep,18328438
1311,Meryl Streep,32386023
1312,Tom Hanks,3110442
1313,Robert De Niro,35697283
1314,Viola Davis,43353321
1315,Meryl Streep,32890791
1316,Meryl Streep,32356406
1317,Leonardo DiCaprio,22675556
1318,Tom Hanks,38833925
1319,Cate Blanchett,45178087
1320,Leonardo DiCaprio,3271620
1321,Tom Hanks,48062660
1322,Robert De Niro,43243156
1323,Tom Hanks,1530046
1324,Meryl Streep,29280196
1325,Cate Blanchett,23462174
1326,Tom Hanks,44478578
1327,Robert De Niro,13556841
1328,Tom Hanks,21553809
1329,Meryl Streep,32329184
1330,Leonardo DiCaprio,13493034
1331,Robert De Niro,30461375
1332,Leonardo DiCaprio,31631550
1333,Leonardo DiCaprio,39652370
1334,Viola Davis,30190240
1335,Viola Davis,27798816
1336,Cate Blanchett,17346962
1337,Tom Hanks,49544703
1338,Tom Hanks,41328529
1339,Tom Hanks,33383891
1340,Viola Davis,27920929
1341,Tom Hanks,3693009
1342,Meryl Streep,35021560
1343,Robert De Niro,29251891
1344,Cate Blanchett,19076509
1345,Leonardo DiCaprio,27893885
1346,Leonardo DiCaprio,2916305
1347,Meryl Streep,35373452
1348,Meryl Streep,21171767
1349,Leonardo DiCaprio,47817257
1350,Leonardo DiCaprio,14318568
1351,Leonardo DiCaprio,10364988
1352,Meryl Streep,45520451
1353,Tom Hanks,4610463
1354,Robert De Niro,21754995
1355,Meryl Streep,24226542
1356,Cate Blanchett,27574698
1357,Meryl Streep,31909519
1358,Robert De Niro,45198475
1359,Meryl Streep,14449054
1360,Meryl Streep,21218715
1361,Tom Hanks,6393893
1362,Meryl Streep,16850011
1363,Meryl Streep,30296299
1364,Robert De Niro,49595836
1365,Meryl Streep,11344021
1366,Viola Davis,38268788
1367,Tom Hanks,1331838
1368,Cate Blanchett,11692442
1369,Tom Hanks,7705079
1370,Cate Blanchett,37898404
1371,Viola Davis,27444066
1372,Viola Davis,15260088
1373,Cate Blanchett,45858037
1374,Cate Blanchett,32103883
1375,Viola Davis,17290140
1376,Robert De Niro,27009645
1377,Meryl Streep,22364556
1378,Meryl Streep,27835731
1379,Tom Hanks,20004867
1380,Viola Davis,29493916
1381,Leonardo DiCaprio,27430850
1382,Leonardo DiCaprio,5808806
1383,Tom Hanks,33769884
1384,Viola Davis,40354581
1385,Robert De Niro,15877635
1386,Leonardo DiCaprio,12956117
1387,Meryl Streep,25772067
1388,Tom Hanks,23807011
1389,Leonardo DiCaprio,1106806
1390,Leonardo DiCaprio,41209630
1391,Cate Blanchett,6185477
1392,Viola Davis,16439969
1393,Meryl Streep,34551055
1394,Meryl Streep,3969427
1395,Meryl Streep,21262710
1396,Cate Blanchett,7231081
1397,Tom Hanks,26774268
1398,Viola Davis,13071250
1399,Cate Blanchett,11116498
1400,Tom Hanks,21877035
1401,Cate Blanchett,46316799
1402,Cate Blanchett,3337177
1403,Tom Hanks,29302283
1404,Meryl Streep,11975176
1405,Cate Blanchett,46791047
1406,Leonardo DiCaprio,8142433
1407,Cate Blanchett,6545908
1408,Tom Hanks,47041084
1409,Viola Davis,7805180
1410,Viola Davis,28143760
1411,Robert De Niro,11796727
1412,Tom Hanks,9639562
1413,Leonardo DiCaprio,35022209
1414,Cate Blanchett,47056722
1415,Cate Blanchett,1777701
1416,Cate Blanchett,44876931
1417,Viola Davis,27957858
1418,Cate Blanchett,4658190
1419,Tom Hanks,29520005
1420,Tom Hanks,43554883
1421,Robert De Niro,41509329
1422,Cate Blanchett,34692782
1423,Tom Hanks,32779220
1424,Viola Davis,23485731
1425,Leonardo DiCaprio,25485460
1426,Robert De Niro,13001719
1427,Cate Blanchett,36682563
1428,Cate Blanchett,46279619
1429,Robert De Niro,11092315
1430,Robert De Niro,23623450
1431,Viola Davis,40604498
1432,Tom Hanks,14261587
1433,Leonardo DiCaprio,42239746
1434,Viola Davis,31533819
1435,Cate Blanchett,4257705
1436,Cate Blanchett,19905503
1437,Robert De Niro,9157179
1438,Cate Blanchett,31886902
1439,Tom Hanks,4360376
1440,Leonardo DiCaprio,47062694
1441,Tom Hanks,17933365
1442,Cate Blanchett,23646674
1443,Viola Davis,20873917
1444,Robert De Niro,37423235
1445,Tom Hanks,12994245
1446,Tom Hanks,24950171
1447,Cate Blanchett,2175679
1448,Cate Blanchett,22785721
1449,Tom Hanks,43680076
1450,Robert De Niro,40982045
1451,Robert De Niro,24974271
1452,Viola Davis,3457013
1453,Leonardo DiCaprio,27589509
1454,Meryl Streep,12759731
1455,Robert De Niro,36902249
1456,Robert De Niro,9459382
1457,Viola Davis,10706915
1458,Viola Davis,34114888
1459,Cate Blanchett,19434552
1460,Tom Hanks,31737931
1461,Viola Davis,42422351
1462,Meryl Streep,36135432
1463,Leonardo DiCaprio,31764016
1464,Robert De Niro,6136253
1465,Tom Hanks,26017871
1466,Robert De Niro,10848255
1467,Leonardo DiCaprio,49574080
1468,Viola Davis,7786230
1469,Cate Blanchett,35402169
1470,Viola Davis,6285820
1471,Tom Hanks,43730969
1472,Viola Davis,21265935
1473,Cate Blanchett,27893178
1474,Robert De Niro,13343356
1475,Viola Davis,18237448
1476,Viola Davis,44815070
1477,Viola Davis,6320610
1478,Cate Blanchett,8813178
1479,Meryl Streep,39312123
1480,Tom Hanks,21347502
1481,Leonardo DiCaprio,35496611
1482,Leonardo DiCaprio,17357946
1483,Viola Davis,4277007
1484,Tom Hanks,39475928
1485,Cate Blanchett,15442449
1486,Cate Blanchett,19440626
1487,Viola Davis,47228832
1488,Meryl Streep,19579344
1489,Leonardo DiCaprio,46059551
1490,Robert De Niro,41575533
1491,Cate Blanchett,13164180
1492,Viola Davis,20120154
1493,Tom Hanks,1338970
1494,Cate Blanchett,14900684
1495,Robert De Niro,28804869
1496,Viola Davis,9708512
1497,Tom Hanks,18921642
1498,Cate Blanchett,41203541
1499,Viola Davis,22351315
1500,Robert De Niro,15852781
1501,Meryl Streep,2212853
1502,Viola Davis,22784130
1503,Meryl Streep,5276341
1504,Leonardo DiCaprio,20316032
1505,Viola Davis,48783766
1506,Leonardo DiCaprio,31913305
1507,Leonardo DiCaprio,29237046
1508,Viola Davis,40945260
1509,Tom Hanks,37336626
1510,Cate Blanchett,32917169
1511,Leonardo DiCaprio,1843372
1512,Tom Hanks,23857009
1513,Tom Hanks,24244249
1514,Cate Blanchett,11185691
1515,Cate Blanchett,34485621
1516,Meryl Streep,36718046
1517,Viola Davis,12409406
1518,Viola Davis,27176567
1519,Tom Hanks,28040726
1520,Robert De Niro,45338725
1521,Leonardo DiCaprio,6275328
1522,Viola Davis,33651047
1523,Leonardo DiCaprio,24172636
1524,Robert De Niro,14928525
1525,Viola Davis,36540300
1526,Tom Hanks,21403291
1527,Tom Hanks,22161980
1528,Cate Blanchett,46265020
1529,Cate Blanchett,2984044
1530,Meryl Streep,42933825
1531,Leonardo DiCaprio,12189349
1532,Leonardo DiCaprio,24597246
1533,Leonardo DiCaprio,29959541
1534,Cate Blanchett,2570907
1535,Tom Hanks,38342021
1536,Viola Davis,33934136
1537,Meryl Streep,26184905
1538,Leonardo DiCaprio,9838062
1539,Cate Blanchett,41743250
1540,Robert De Niro,7508205
1541,Cate Blanchett,15650226
1542,Meryl Streep,8424439
1543,Leonardo DiCaprio,20417881
1544,Meryl Streep,11678195
1545,Viola Davis,27918473
1546,Leonardo DiCaprio,28415057
1547,Tom Hanks,15613129
1548,Cate Blanchett,41214888
1549,Tom Hanks,22434805
1550,Tom Hanks,43297083
1551,Robert De Niro,45576027
1552,Viola Davis,43488137
1553,Viola Davis,22325525
1554,Leonardo DiCaprio,36945322
1555,Leonardo DiCaprio,27318309
1556,Meryl Streep,28109697
1557,Cate Blanchett,32132737
1558,Tom Hanks,31162476
1559,Meryl Streep,12920321
1560,Cate Blanchett,20354720
1561,Robert De Niro,36746590
1562,Tom Hanks,32139954
1563,Viola Davis,12560888
1564,Viola Davis,7598350
1565,Cate Blanchett,39933732
1566,Viola Davis,29058209
1567,Cate Blanchett,28534351
1568,Meryl Streep,43709213
1569,Robert De Niro,42532063
1570,Meryl Streep,10299412
1571,Leonardo DiCaprio,42602146
1572,Leonardo DiCaprio,6402653
1573,Leonardo DiCaprio,39291291
1574,Viola Davis,28432443
1575,Robert De Niro,22811743
1576,Leonardo DiCaprio,17773240
1577,Meryl Streep,39205488
1578,Viola Davis,32669581
1579,Viola Davis,7104654
1580,Tom Hanks,2524680
1581,Viola Davis,41355417
1582,Viola Davis,27128123
1583,Leonardo DiCaprio,35315141
1584,Meryl Streep,11829979
1585,Cate Blanchett,25767487
1586,Viola Davis,17060179
1587,Meryl Streep,32686717
1588,Viola Davis,14407364
1589,Tom Hanks,9901994
1590,Tom Hanks,5349514
1591,Robert De Niro,14892022
1592,Leonardo DiCaprio,31949238
1593,Cate Blanchett,17444823
1594,Viola Davis,41483354
1595,Cate Blanchett,17232536
1596,Meryl Streep,31964447
1597,Leonardo DiCaprio,44042233
1598,Robert De Niro,41534209
1599,Tom Hanks,11688199
1600,Meryl Streep,32018537
1601,Viola Davis,5687035
1602,Robert De Niro,3169130
1603,Viola Davis,46424136
1604,Cate Blanchett,35881007
1605,Cate Blanchett,26858091
1606,Robert De Niro,28990409
1607,Tom Hanks,49048374
1608,Leonardo DiCaprio,9118962
1609,Viola Davis,41733531
1610,Viola Davis,36847596
1611,Viola Davis,2591830
1612,Cate Blanchett,33266449
1613,Viola Davis,5012188
1614,Tom Hanks,27735952
1615,Viola Davis,3678077
1616,Tom Hanks,27805255
1617,Viola Davis,35330190
1618,Viola Davis,44595918
1619,Cate Blanchett,29762089
1620,Robert De Niro,7954022
1621,Meryl Streep,18616016
1622,Leonardo DiCaprio,8501679
1623,Viola Davis,12338275
1624,Tom Hanks,28708783
1625,Viola Davis,23805915
1626,Meryl Streep,17312062
1627,Cate Blanchett,15098564
1628,Tom Hanks,7517995
1629,Tom Hanks,44086277
1630,Viola Davis,5970723
1631,Cate Blanchett,48585746
1632,Cate Blanchett,17423447
1633,Tom Hanks,23980954
1634,Tom Hanks,47251034
1635,Cate Blanchett,23190298
1636,Cate Blanchett,47946789
1637,Tom Hanks,39133349
1638,Tom Hanks,40891396
1639,Robert De Niro,10396649
1640,Meryl Streep,36016015
1641,Tom Hanks,2740836
1642,Meryl Streep,25887397
1643,Leonardo DiCaprio,25342011
1644,Viola Davis,20543329
1645,Tom Hanks,49038986
1646,Meryl Streep,39093670
1647,Viola Davis,21450846
1648,Cate Blanchett,48853910
1649,Cate Blanchett,46182969
1650,Tom Hanks,11364379
1651,Viola Davis,47646198
1652,Meryl Streep,10833202
1653,Leonardo DiCaprio,20618127
1654,Cate Blanchett,18267497
1655,Viola Davis,16295320
1656,Robert De Niro,15204399
1657,Leonardo DiCaprio,21331071
1658,Meryl Streep,40207332
1659,Robert De Niro,18409460
1660,Tom Hanks,49394843
1661,Leonardo DiCaprio,35683066
1662,Cate Blanchett,33009205
1663,Leonardo DiCaprio,12436029
1664,Tom Hanks,44208144
1665,Meryl Streep,40401991
1666,Leonardo DiCaprio,22092063
1667,Leonardo DiCaprio,26123047
1668,Cate Blanchett,33564293
1669,Viola Davis,12349509
1670,Leonardo DiCaprio,33349994
1671,Meryl Streep,33480584
1672,Cate Blanchett,1955133
1673,Viola Davis,5345473
1674,Tom Hanks,16087762
1675,Tom Hanks,14853233
1676,Meryl Streep,11072270
1677,Tom Hanks,41845221
1678,Viola Davis,9025644
1679,Viola Davis,14216567
1680,Tom Hanks,34473246
1681,Cate Blanchett,39212323
1682,Viola Davis,1818780
1683,Viola Davis,36172985
1684,Meryl Streep,14591557
1685,Tom Hanks,45576666
1686,Robert De Niro,27742293
1687,Viola Davis,7633041
1688,Tom Hanks,35052145
1689,Robert De Niro,19218282
1690,Leonardo DiCaprio,36886724
1691,Viola Davis,37086388
1692,Robert De Niro,4756405
1693,Cate Blanchett,39030738
1694,Leonardo DiCaprio,17641115
1695,Meryl Streep,18184705
1696,Viola Davis,13259759
1697,Viola Davis,44674932
1698,Meryl Streep,16323633
1699,Viola Davis,49142578
1700,Cate Blanchett,12907171
1701,Robert De Niro,41878539
1702,Tom Hanks,38042459
1703,Tom Hanks,7131011
1704,Viola Davis,13751634
1705,Viola Davis,5272749
1706,Meryl Streep,36068253
1707,Tom Hanks,5084588
1708,Meryl Streep,16273054
1709,Meryl Streep,40304144
1710,Leonardo DiCaprio,33029873
1711,Cate Blanchett,7594803
1712,Leonardo DiCaprio,4428108
1713,Tom Hanks,43540691
1714,Robert De Niro,14181914
1715,Cate Blanchett,8811900
1716,Cate Blanchett,6595953
1717,Cate Blanchett,14247037
1718,Robert De Niro,37397756
1719,Leonardo DiCaprio,15427999
1720,Leonardo DiCaprio,33697496
1721,Tom Hanks,39207040
1722,Robert De Niro,40038135
1723,Cate Blanchett,8484242
1724,Viola Davis,30705189
1725,Viola Davis,14072723
1726,Leonardo DiCaprio,43609602
1727,Leonardo DiCaprio,31618716
1728,Robert De Niro,17894507
1729,Cate Blanchett,41356193
1730,Tom Hanks,34058171
1731,Viola Davis,12846853
1732,Tom Hanks,35043855
1733,Cate Blanchett,35507393
1734,Tom Hanks,44303983
1735,Tom Hanks,18730155
1736,Leonardo DiCaprio,17711583
1737,Tom Hanks,19474288
1738,Viola Davis,38665810
1739,Leonardo DiCaprio,21723486
1740,Viola Davis,30530839
1741,Robert De Niro,13225911
1742,Cate Blanchett,1437367
1743,Tom Hanks,35195182
1744,Cate Blanchett,34271764
1745,Meryl Streep,12998740
1746,Robert De Niro,29992030
1747,Viola Davis,21444110
1748,Robert De Niro,30742536
1749,Tom Hanks,43807601
1750,Viola Davis,37144169
1751,Meryl Streep,13991974
1752,Robert De Niro,16556022
1753,Meryl Streep,21615865
1754,Leonardo DiCaprio,21493961
1755,Tom Hanks,36594509
1756,Cate Blanchett,7906650
1757,Viola Davis,21136780
1758,Leonardo DiCaprio,15112452
1759,Leonardo DiCaprio,46089589
1760,Meryl Streep,22727530
1761,Meryl Streep,13878463
1762,Cate Blanchett,12527778
1763,Meryl Streep,41944676
1764,Viola Davis,11544994
1765,Tom Hanks,35659466
1766,Cate Blanchett,44855013
1767,Leonardo DiCaprio,28978300
1768,Viola Davis,19077999
1769,Meryl Streep,18639928
1770,Cate Blanchett,21375467
1771,Tom Hanks,10729881
1772,Tom Hanks,23395715
1773,Viola Davis,24752079
1774,Viola Davis,22162555
1775,Cate Blanchett,21670663
1776,Cate Blanchett,38801510
1777,Cate Blanchett,28992693
1778,Robert De Niro,28117424
1779,Robert De Niro,28433283
1780,Tom Hanks,44338415
1781,Meryl Streep,31661349
1782,Tom Hanks,2307255
1783,Viola Davis,14570291
1784,Meryl Streep,45429733
1785,Viola Davis,18175126
1786,Tom Hanks,26063495
1787,Robert De Niro,22598705
1788,Cate Blanchett,26662854
1789,Tom Hanks,38451320
1790,Leonardo DiCaprio,14385006
1791,Meryl Streep,42443470
1792,Leonardo DiCaprio,30534822
1793,Tom Hanks,8169547
1794,Robert De Niro,17316702
1795,Meryl Streep,22842796
1796,Viola Davis,33190960
1797,Viola Davis,40791547
1798,Cate Blanchett,4087004
1799,Viola Davis,27176685
1800,Viola Davis,48411651
1801,Cate Blanchett,17766889
1802,Tom Hanks,41715272
1803,Leonardo DiCaprio,26167096
1804,Robert De Niro,7807517
1805,Robert De Niro,43924753
1806,Tom Hanks,19525148
1807,Leonardo DiCaprio,25793291
1808,Cate Blanchett,20074710
1809,Robert De Niro,32664704
1810,Meryl Streep,5965301
1811,Tom Hanks,28768129
1812,Meryl Streep,11094486
1813,Leonardo DiCaprio,21055861
1814,Leonardo DiCaprio,14421390
1815,Leonardo DiCaprio,6905926
1816,Cate Blanchett,17456883
1817,Tom Hanks,39435472
1818,Leonardo DiCaprio,45338208
1819,Tom Hanks,38357788
1820,Leonardo DiCaprio,20556823
1821,Viola Davis,2466450
1822,Meryl Streep,5563664
1823,Viola Davis,48741426
1824,Viola Davis,22069581
1825,Tom Hanks,30919840
1826,Viola Davis,15415844
1827,Meryl Streep,22559872
1828,Cate Blanchett,16279499
1829,Cate Blanchett,25307085
1830,Tom Hanks,14353669
1831,Viola Davis,48248687
1832,Tom Hanks,18136770
1833,Leonardo DiCaprio,2552785
1834,Meryl Streep,8998734
1835,Viola Davis,28566908
1836,Cate Blanchett,27595778
1837,Cate Blanchett,4223311
1838,Leonardo DiCaprio,5045748
1839,Leonardo DiCaprio,26063440
1840,Robert De Niro,38964463
1841,Cate Blanchett,3153121
1842,Leonardo DiCaprio,22949296
1843,Leonardo DiCaprio,34018196
1844,Tom Hanks,39575213
1845,Tom Hanks,43572108
1846,Robert De Niro,6070247
1847,Leonardo DiCaprio,7183646
